# it=     0  time[d]=  0.125
1.0000000e-05 1.0047000e-05  7.37988e-05 
1.0047000e-05 1.0095000e-05  3.15514e-06 
1.0095000e-05 1.0143000e-05 -2.04721e-07 
1.0143000e-05 1.0191000e-05  0.00000e+00 
1.0191000e-05 1.0240000e-05  5.11212e-07 
1.0240000e-05 1.0288000e-05  4.31628e-06 
1.0288000e-05 1.0337000e-05  2.84701e-06 
1.0337000e-05 1.0386000e-05  0.00000e+00 
1.0386000e-05 1.0436000e-05  0.00000e+00 
1.0436000e-05 1.0485000e-05  1.31915e-08 
1.0485000e-05 1.0535000e-05  5.39141e-07 
1.0535000e-05 1.0585000e-05  0.00000e+00 
1.0585000e-05 1.0635000e-05  0.00000e+00 
1.0635000e-05 1.0686000e-05  4.62926e-06 
1.0686000e-05 1.0737000e-05  0.00000e+00 
1.0737000e-05 1.0788000e-05  3.16087e-06 
1.0788000e-05 1.0839000e-05  0.00000e+00 
1.0839000e-05 1.0890000e-05 -8.90601e-08 
1.0890000e-05 1.0942000e-05  1.66386e-06 
1.0942000e-05 1.0994000e-05  1.64966e-07 
1.0994000e-05 1.1046000e-05  3.96992e-07 
1.1046000e-05 1.1099000e-05  5.47931e-06 
1.1099000e-05 1.1151000e-05  2.89844e-09 
1.1151000e-05 1.1204000e-05  4.08241e-06 
1.1204000e-05 1.1258000e-05  1.06783e-06 
1.1258000e-05 1.1311000e-05  2.86043e-06 
1.1311000e-05 1.1365000e-05  3.28287e-06 
1.1365000e-05 1.1419000e-05  5.86315e-07 
1.1419000e-05 1.1473000e-05  3.54721e-07 
1.1473000e-05 1.1527000e-05  3.74861e-06 
1.1527000e-05 1.1582000e-05  4.21036e-06 
1.1582000e-05 1.1637000e-05  7.99530e-08 
1.1637000e-05 1.1693000e-05  3.90097e-06 
1.1693000e-05 1.1748000e-05  1.83723e-08 
1.1748000e-05 1.1804000e-05  1.16849e-07 
1.1804000e-05 1.1860000e-05  1.07276e-07 
1.1860000e-05 1.1916000e-05  6.98032e-07 
